Goal,date, Monthly Investment , My Portfolio , S&P 500 Benchmark , KOSPI Benchmark , Savings Benchmark , Expected Path ,,,
단기 저축 목표,2017-03-31, 1169229.6869196328 , 19464678.260709062 , 19310372.369183633 , 18817493.87716414 , 17848718.168739434 , 18804944.12887204 ,,,
단기 저축 목표,2017-04-30, 1169229.6869196328 , 20992981.16512358 , 20654089.30817694 , 20379173.553612687 , 19062569.651080914 , 20129727.289170045 ,,,
단기 저축 목표,2017-05-31, 1169229.6869196328 , 22670459.90917635 , 22061314.955115974 , 22858553.528479848 , 20279455.76212825 , 21465468.983598504 ,,,
단기 저축 목표,2017-06-30, 1169229.6869196328 , 23487801.253848292 , 23335606.70530095 , 24458706.334380772 , 21499384.088453203 , 22812259.860554744 ,,,
단기 저축 목표,2017-07-31, 1169229.6869196328 , 25311927.22119722 , 24955184.980980504 , 25738001.408946205 , 22722362.235593967 ," 24,170,191 ",,,
단기 저축 목표,2017-08-31, 1169229.6869196328 , 26776657.61663961 , 26136842.510522306 , 26482232.997051455 , 23948397.828102585 , 25539355.511035528 ,,,
단기 저축 목표,2017-09-30, 1169229.6869196328 , 27871693.446750276 , 27809353.07219908 , 28000302.63590936 , 25177498.509592474 , 26919845.355409555 ,,,
단기 저축 목표,2017-10-31, 1169229.6869196328 , 29730325.735520203 , 29594340.59251669 , 30675805.36308235 , 26409671.942786086 , 28311754.536569927 ,,,
단기 저축 목표,2017-11-30, 1169229.6869196328 , 31363641.636007633 , 31593332.658118367 , 31271092.44859514 , 27644925.809562683 , 29715177.514648434 ,,,
단기 저축 목표,2017-12-31, 1169229.6869196328 , 32638167.34536152 , 33071801.87281461 , 32326299.739802342 , 28883267.811006222 , 31130209.531145934 ,,,
단기 저축 목표,2018-01-31, 1169229.6869196328 , 35097262.11398867 , 36097551.12215491 , 34790192.35129125 , 30124705.66745337 , 32585485.715889864 ,,,
단기 저축 목표,2018-02-28, 1169229.6869196328 , 36300818.03100852 , 35859389.00796397 , 34071788.30735723 , 31369247.118541636 , 34054134.012877256 ,,,
단기 저축 목표,2018-03-31, 1169229.6869196328 , 37182059.91650961 , 36063075.90171352 , 35498549.746652775 , 32616899.923257623 , 35536277.29458258 ,,,
단기 저축 목표,2018-04-30, 1169229.6869196328 , 38387092.89219426 ," 37,328,867 ", 37674859.43098605 , 33867671.859985396 , 37032039.56251996 ,,,
단기 저축 목표,2018-05-31, 1169229.6869196328 , 40746846.56840095 , 39303193.55087048 , 37458435.29941506 , 35121570.72655499 , 38541545.95761759 ,,,
단기 저축 목표,2018-06-30, 1169229.6869196328 , 42360536.34728298 , 40661179.25299142 , 37127806.753713295 , 36378604.34029101 , 40064922.770687476 ,,,
단기 저축 목표,2018-07-31, 1169229.6869196328 ," 44,181,370 ", 43293486.74810422 , 37802182.84732854 , 37638780.538061365 ," 41,602,297 ",,,
